a,meanlog_obs,sdlog_obs,meanlog_sim,sdlog_sim,loss,yr,yr_idx,a_hat
0.75,3.414521676177248,0.6077050743953656,3.2976894132193664,0.6408123258461117,0.015841957865105488,2003,4,0.5
0.25,3.414521676177248,0.6077050743953656,3.2173814401547687,0.7224167983064527,0.06518183186430583,2003,4,0.5
1.5,3.414521676177248,0.6077050743953656,3.147226857383212,0.7184217551277324,0.0959628869389224,2003,4,0.5
1.25,3.414521676177248,0.6077050743953656,3.0925480329636192,0.7739833189214295,0.15896393612959617,2003,4,0.5
2,3.414521676177248,0.6077050743953656,3.0171201135237213,0.8235776908162847,0.25112997504029155,2003,4,0.5
1.25,3.4081072939992625,0.6209355655605784,3.3450199544227854,0.6715852585882391,0.009110795222430263,2004,5,1.25
0.25,3.4081072939992625,0.6209355655605784,3.326314361200907,0.656795842159886,0.009262002731313997,2004,5,1.25
1.5,3.4081072939992625,0.6209355655605784,3.3159624286147276,0.7092718583526064,0.02409727746521187,2004,5,1.25
0.5,3.4081072939992625,0.6209355655605784,3.287676205622994,0.6985020874466598,0.02653677768250047,2004,5,1.25
0.75,3.4081072939992625,0.6209355655605784,3.1934332874210867,0.7250885613871615,0.06778062217963116,2004,5,1.25
1,3.4081072939992625,0.6209355655605784,3.121178601575605,0.7082150071028099,0.09756347636779752,2004,5,1.25
2,3.4081072939992625,0.6209355655605784,3.1021034800726612,0.7175289192422852,0.11229888608858463,2004,5,1.25
1,3.4392723330200434,0.7278120292154581,3.301625876138822,0.8006611176749849,0.029560526470721903,2005,6,1
0.5,3.4392723330200434,0.7278120292154581,3.252888677737919,0.7643571838226892,0.0374099636068586,2005,6,1
1.25,3.4392723330200434,0.7278120292154581,3.292904976098766,0.8317576539595597,0.04303278897900384,2005,6,1
0.25,3.4392723330200434,0.7278120292154581,3.2594833237821135,0.8147016517358657,0.04742370084623433,2005,6,1
2,3.4392723330200434,0.7278120292154581,3.2320734419686143,0.8473947596479051,0.07153143928830058,2005,6,1
0.75,3.4392723330200434,0.7278120292154581,3.188481696267407,0.8172119693475163,0.07888064207402393,2005,6,1
1.5,3.4392723330200434,0.7278120292154581,3.159451302813828,0.827736401733143,0.09826956939177385,2005,6,1
0.25,3.391948823959037,0.6718560138163863,3.3635380465082525,0.6800271968456979,9.407087395550365e-4,2006,7,0.25
1.5,3.391948823959037,0.6718560138163863,3.352265881601283,0.6934530296048756,0.0025075980961053496,2006,7,0.25
0.5,3.391948823959037,0.6718560138163863,3.2528693986044135,0.7298249656742398,0.02606388531596863,2006,7,0.25
