"run","seed","model","design","K_true","T_iter","T_burn","item","cluster"
1,123,"BT-SBM","design1",3,10000,2000,66,3
1,123,"BT-SBM","design1",3,10000,2000,67,3
1,123,"BT-SBM","design1",3,10000,2000,68,3
1,123,"BT-SBM","design1",3,10000,2000,69,3
1,123,"BT-SBM","design1",3,10000,2000,70,3
1,123,"BT-SBM","design1",3,10000,2000,71,3
1,123,"BT-SBM","design1",3,10000,2000,72,3
1,123,"BT-SBM","design1",3,10000,2000,73,2
1,123,"BT-SBM","design1",3,10000,2000,74,3
1,123,"BT-SBM","design1",3,10000,2000,75,3
1,123,"BT-SBM","design1",3,10000,2000,76,3
1,123,"BT-SBM","design1",3,10000,2000,77,3
1,123,"BT-SBM","design1",3,10000,2000,78,3
1,123,"BT-SBM","design1",3,10000,2000,79,3
1,123,"BT-SBM","design1",3,10000,2000,80,3
1,123,"BT-SBM","design1",3,10000,2000,81,3
1,123,"BT-SBM","design1",3,10000,2000,82,3
1,123,"BT-SBM","design1",3,10000,2000,83,3
1,123,"BT-SBM","design1",3,10000,2000,84,3
1,123,"BT-SBM","design1",3,10000,2000,85,3
1,123,"BT-SBM","design1",3,10000,2000,86,3
1,123,"BT-SBM","design1",3,10000,2000,87,3
1,123,"BT-SBM","design1",3,10000,2000,88,3
1,123,"BT-SBM","design1",3,10000,2000,89,3
1,123,"BT-SBM","design1",3,10000,2000,90,3
1,123,"BT-SBM","design1",3,10000,2000,91,3
1,123,"BT-SBM","design1",3,10000,2000,92,3
1,123,"BT-SBM","design1",3,10000,2000,93,3
1,123,"BT-SBM","design1",3,10000,2000,94,3
1,123,"BT-SBM","design1",3,10000,2000,95,3
1,123,"BT-SBM","design1",3,10000,2000,96,3
1,123,"BT-SBM","design1",3,10000,2000,97,3
1,123,"BT-SBM","design1",3,10000,2000,98,3
1,123,"BT-SBM","design1",3,10000,2000,99,3
1,123,"BT-SBM","design1",3,10000,2000,100,3
1,123,"BT-SBM","design1",3,10000,2000,101,3
1,123,"BT-SBM","design1",3,10000,2000,102,2
1,123,"BT-SBM","design1",3,10000,2000,103,3
1,123,"BT-SBM","design1",3,10000,2000,104,3
1,123,"BT-SBM","design1",3,10000,2000,105,3
